,content,id,lat,location,lon,time,user,user_id
106,RT @reaghanhunt: [have not showed up to my 9am lecture in a month] i hope i have a snow day tomorrow so i dont have to get up for my lecture,971899553002737664,,Other,,2018-03-09 00:04:45,IneptBisexual,1195827348
1061,"Snow Day.⠀
👤 @marcussees https://t.co/tAOTUcBE0r https://t.co/uU7OOg0BeL",971799337234726912,,Boston,,2018-03-08 17:26:31,Space_Man_Spiff,28810168
1065,"@amyleesterling @CambMA @CityOfBoston @BroadwayBicycle Snow, great as long as you don't have to shovel it ;)",971799169810739200,,Cambridge,,2018-03-08 17:25:51,adatta02,15437792
1066,"I said if Bitcoin drops below 8k I was gonna do something stupid. Here we are, on a snow day, and it's dropping.",971799142774263808,,Boston,,2018-03-08 17:25:45,Macattack1189,324646139
1067,Seriously!? How can you drive like this!? Lowell Police said the driver received a citation.  Clear the snow off yo… https://t.co/Ngqc4BgiE2,971799119814676480,,Boston,,2018-03-08 17:25:39,WCVB,21419504
1068,@i_pascu You only think this because you don’t have to shovel.  This snow is dumb.  It’s dumbsnow. #dumbsnow,971799093440851968,,Boston,,2018-03-08 17:25:33,brainiaq2000,260451861
1069,RT @michaela_nej: snow snow go away,971799077997432832,,Other,,2018-03-08 17:25:30,Simply_SadeBaby,383481360
107,RT @SnowDayBoston: All of us here at Snow Day Boston hope you enjoyed your Snow Day! We are turning to the next: Monday's storm potential s…,971899502633324544,,Other,,2018-03-09 00:04:33,MashaGabriel,2377597093
1072,"Despite the snow, the mail got through and I got my Tiny Dungeon pack. Thanks @alanbahr. Everything looks great! https://t.co/pU1jMBeVvc",971798982652555264,,Boston,,2018-03-08 17:25:07,RichardPF,7718682
1073,Mia really loves snow ❄️ https://t.co/cOnZgNJUD8,971798975144701952,,Boston,,2018-03-08 17:25:05,dearbrie,716317171
1074,Who cares about the snow! We have all the tournament games on today! #boston #openinbos… https://t.co/n0fvni2fKN,971798973894877184,-71.0548294,Boston,42.3579089,2018-03-08 17:25:05,VanderbiltBos,256295992
1075,"In addition to all the International Women’s Day and #tbt posts today, please enjoy this snow pic. ⛄️ #Boston… https://t.co/AsfHtVUjXo",971798942114557952,,Boston,,2018-03-08 17:24:57,sarahmceneaney,236206118
1077,"@franharrington @RevsPrez @MidnightRiders @NErebellion GONNA TAKE A LOT OF THIS SNOW AWAY FROM YOU
THERE'S NOTHING… https://t.co/6ulNl8n48l",971798908681801728,,Other,,2018-03-08 17:24:49,hoover_dam,35197742
1079,"As it turns out, it's a pretty thin line between ""ehh...should we really fly a drone during a snow storm?"" and ""Coo… https://t.co/PbLRORwvr9",971798648639156224,,Boston,,2018-03-08 17:23:47,imryh,19610980
1080,Snow days are productive days......,971798625734053888,,Boston,,2018-03-08 17:23:42,FastlaneAudio,26689810
1081,@BostonGlobe Using the Force to clear the snow cuts down on carbon emissions.,971798603692953600,,Other Mass.,,2018-03-08 17:23:36,wheresmyporsche,37924260
1082,Snow day during Conference Championship Week &gt;&gt;&gt;&gt;&gt;&gt;&gt;,971798546134560768,,Boston,,2018-03-08 17:23:23,Macattack1189,324646139
1087,RT @FuppaCats: #Pepe enjoying the snow 🧡 https://t.co/saikbi33vG,971797902384300032,,Other,,2018-03-08 17:20:49,SylMaurits,1123080942
1089,John and Loki are having tons of fun in the snow without me. 😭look at that adorable face! #pwd #puppy https://t.co/GpGiDbeSZ3,971797697610113024,,Boston,,2018-03-08 17:20:00,lilianlim90,31109501
109,RT @BostonTownGown: Northeastern women's basketball team pushes bus out of snow https://t.co/gqniPaKj2g via @Newsday,971899432676536320,,Boston,,2018-03-09 00:04:16,PeterKwiatek,203707797
1090,Updated: Here’s how much snow the nor’easter has dropped on Massachusetts so far https://t.co/KFyJNcCFuE https://t.co/TPGzRw2vRW,971797327785676800,,Boston,,2018-03-08 17:18:32,BostonDotCom,14602259
1091,March in Boston #Snow https://t.co/I6uSNw6Q6N,971797297251147776,,Boston,,2018-03-08 17:18:25,ISlideUSA,1089493266
1093,"Snow day in the city ❄️ @ Boston, Massachusetts https://t.co/6UddiCkE32",971797078602141696,,Boston,,2018-03-08 17:17:33,The_SBK,107549002
1095,I’m torn between SNOW WIZARDS and INTELLIGENT KILLER WHALE RAIDERS https://t.co/yAtGl9CRa8,971796878349266944,,Boston,,2018-03-08 17:16:45,CrinkleSix,4862755701
1096,RT @BostonGlobe: Woman hit by snow plow near Tufts Medical Center https://t.co/yKCC70hMwZ,971796875044106240,,Other,,2018-03-08 17:16:44,kimvie,29897850
1097,Snow day! https://t.co/xLooFAQPqK,971796871738986496,,Boston,,2018-03-08 17:16:43,HollyHotwater,2547273949
110,Snow day snuggles with my suddenly-loves-me-again baby Boots. Maybe I posted too loudly last… https://t.co/7BUqAxzkJg,971899093000867840,,Boston,,2018-03-09 00:02:55,nestle_boots,764952743614095360
1102,"#MAtraffic: 610 #MAsnow crews at 12pm continuing to clear, treat state roads. Pavements wet to slush, snow-covered… https://t.co/S1pwg5k09S",971796590347411456,,Boston,,2018-03-08 17:15:36,MassDOT,23595586
1103,"After it began to snow Wednesday night, 15-year-old Alex Wymer took to the streets outside of his Newton home to pr… https://t.co/2DLfQOcd7T",971796567144435712,,Boston,,2018-03-08 17:15:31,Boston_CP,70291924
1105,"Okay, #Spring, we're ready for you! #Winter #Weather #Snow https://t.co/XTzjBXy8yk",971796473225666560,,Cambridge,,2018-03-08 17:15:08,Charles_Garage,854760319117385728
1106,"RT @wombatoverlord: That was a pretty walk in, even with a few trees not handling the snow well. https://t.co/18R4JrDtG4",971796422273122304,,Other,,2018-03-08 17:14:56,FormerlyHurogGi,2508274081
1107,Alright we get it snow you're cold and white get the fuck on with it already,971796410566836224,,Boston,,2018-03-08 17:14:54,ICE_ICE_B4BY,397522110
1108,"RT @GalenNelson: Just in time!
Bridgeport, CT flips the switch on new clean #microgrid as snow emergency kicks into gear https://t.co/QiKPa…",971796338668163072,,USA,,2018-03-08 17:14:36,MayorGanim,783381009597288448
1109,Sammy (Adams) looks a little bit sassy covered in #Snow #Storm #NorEaster #Boston #City #Spring… https://t.co/QnvlwkFMyt,971796173924327424,,Boston,,2018-03-08 17:13:57,JulesinBOS,104708634
111,Most Merrimack Valley schools have already called tomorrow a snow day due to prolonged power outages. Full list her… https://t.co/TuLrpufa15,971898576132505600,,Boston,,2018-03-09 00:00:52,kierablessing,1705625120
1110,Light snow is continuing to fall at locations throughout the Commonwealth. @MassDOT advises the public to continue… https://t.co/FAuUxJ77np,971796152034189312,,Boston,,2018-03-08 17:13:52,pmarvin123,2516570035
1113,"other schools which received less snow were closed

:))",971796046413205504,,Boston,,2018-03-08 17:13:27,TheRealQNS,715678762277294080
1114,@amg1968 No but I did try to get as much snow on the carpet as possible 😼,971795895133097984,,Boston,,2018-03-08 17:12:51,Catsul_General,765235254135230464
1117,"good morning to all, except for my school, which notably refused to close even though they received over a foot of snow 

:)",971795784025985024,,Boston,,2018-03-08 17:12:24,TheRealQNS,715678762277294080
1118,"White Snow Black Branches. 
copyright 2018 https://t.co/tzPgYwXNHl",971795745513902080,,Boston,,2018-03-08 17:12:15,MonSherriAmore,24268511
1119,"@andrempowell @lildallface @BizGalz @JuliaEMcCoy Going well!

Oodles of snow
and meetings today! Hahaha. 

How are you? :)",971795713482022912,,Boston,,2018-03-08 17:12:07,CardozaGab,3355904175
112,"Snow worries, it will all melt soon ❄️#itsallgood https://t.co/FYVYyQSN8N",971898453310746624,,Boston,,2018-03-09 00:00:22,atlanticfishbos,848388146
1122,RT @HeartEyes4Brady: Good Morning loves 💋. Hope everyone has a wonderful day. Stay warm and safe in the snow #SnowStorm #FridayEve ☕️🍩🌨❄️☃️…,971795638080954368,,Boston,,2018-03-08 17:11:49,AllisonClark71,2726239635
1123,Make the calls stoppppppp I want a snow day 😭😭😭#workingfromhomekindasuckssometimes #makesureyoumutewhenyoupee,971795412469403648,,Boston,,2018-03-08 17:10:56,Margaritank,96235630
1124,Just made a BOMB balsamic chicken caprese salad for lunch. Snow day victories.,971795291505602560,,Boston,,2018-03-08 17:10:27,lkm824,149935462
